词汇,词性,词义/用法,变位 / 特殊阴阳性,是否收藏
Leçon 1,,,,
appeler(s’),v.pr.,,"Je m’appelle, Tu t’appelle, Il s’appelle, Nous nous appelons, Vous vous appelez, Ils s’appellent",
bienvenue,n.m.,,,
bonjour,n.m.,早上好，你好,,
ce,pron.,,,
club,n.m.,,,
et,conj.,,,
être,v.i.,,,
"étudiant,e",n.,"lycéen,e",,
femme,n.f.,,,
"français,e",adj.,,,
"Français,e",adj.,,,
homme,n.m.,,,
"italien,ne",adj.,,,
ma,adj.poss,,,
madame,n.f.,p.l. mesdames,,
maman,n.f.,,,
mari,n.m.,,,
mon,adj.poss,,,
monsieur,n.m.,,,
nationalité,n.f.,,,
nom,n.m.,,,
non,adv.,,,
oui,adv.,,,
prénom,n.m.,,,
qui,pron.,,,
voici,prép.,,,
Leçon 2,,,,
à,prép.,,,
ah,,,,
"assitant,e",n.,,,
badge,n.m.,,,
belge,n. / adj.,Belgique n.f.,,
café,n.m.,,,
carte,n.f.,carte de visite,,
"chinois,e",adj.,,,
cours,n.m.,,,
dans,prép.,,,
dentiste,n.,,,
"directeur,trice",n.,,,
en,prép.,,,
"espagnol,e",adj.,,,
français,n.m.,,,
France,n.f.,,,
habiter,v.t.,,,
Japon,n.m.,,,
"japonais,e",n.,,,
photographe,n.,,,
professeur,n.m.,,,
rendez-vous,n.m.,sur rendez-vous,,
secrétaire,n.,,,
sympa,adj.,sympatique adj.,,
téléphone,n.m.,,,
thé,n.m.,,,
Leçon 3,,,,
adresse,n.f.,,,
âge,n.m.,Tu a quel âge = Quel est votre âge,,
aller,v.i.,,"Je vais, Tu va, Il va, Nous allons, Vous allez, ils vont",
"ami,e",n.,,,
an,n.m.,,,
au revoir,loc.,,,
avec,prép.,,,
avoir,v.t.,,"J’ai, Tu as, Il a, Nous avons, Vous avez, Ils ont",
bébé,n.m.,,,
bien,adv.,,,
"bon,ne",adj.,,,
ça,pron.,,,
Canada,n.m.,,,
comment,adv.,,,
e-mail,n.m.,courrier électronique / courriel,,
fille,n.f.,,,
fils,n.m.,,,
garçon,n.m.,,,
hôtel,n.m.,,,
journée,n.f.,Bonne journée! ,,
maintenant,adv.,,,
merci,interj.,,,
nuit,n.f.,Bonne nuit!,,
numéro,n.m.,,,
parler,v.t.dir,,,
profession,n.f.,,,
rue,n.f.,,,
Leçon 4,,,,
aimer,v.t.,+inf.,,
aussi,adv.,,,
beaucoup,adv.,,,
Belgique,n.f.,,,
bientôt,adv.,à bientôt,,
"boulanger,ère",n.,,,
chercher,v.t.,,,
cinéma,n.m.,,,
classique,adj.,,,
correspondance,n.f.,,,
"correspondant,e",n.,,,
danse,n.f.,,,
espagnol,n.m.,,,
Europe,n.f.,,,
football,n.m.,,,
frère,n.m.,,,
golf,n.m.,,,
"guyanais,e",adj.,,,
lecture,n.f.,,,
littérature,n.f.,,,
mère,n.f.,,,
monde,n.m.,,,
musique,n.f.,,,
nature,n.f.,,,
père,n.m.,,,
phone,n.f.,,,
"québécois,e",adj.,,,
Sénégal,n.m.,,,
"serveur,euse",n.,,,
soeur,n.f.,,,
souvent,adv.,,,
sport,n.m.,,,
un peu,loc.adv.,,,
volley-ball,n.m.,,,
Leçon 5,,,,
affiche,n.f.,,,
assiette,n.f.,,,
au-dessous,loc.adv.,Il habite au-dessous de chez-moi.,,
au-dessus,loc.adv.,,,
avec,prép,,,
blouson,n.m.,,,
chaise,n.f.,,,
chambre,n.f.,,,
chapeau,n.m.,,,
"chat,te",n. ,,,
contre,prép.,,,
côté,n.m.,à côté de,,
cuillère,n.f.,,,
devant,prép.,derrière,,
droite,n.f.,à droite de,,
étagère,n.f.,,,
fauteuil,n.m.,,,
fenêtre,n.f.,,,
fleur,n.f.,,,
gauche,n.f.,à gauche de,,
lit,n.m.,,,
livre,n.m.,,,
meuble,n.m.,,,
mur,n.m.,sur le mur,,
nounours,n.m.,,,
objet,n.m.,,,
ordinateur,n.m.,,,
pièce,n.f.,,,
pomme,n.f.,,,
porte,n.f.,,,
que,pron.,,,
sac,n.m.,,,
sous,prép.,,,
sur,prép.,,,
table,n.f.,,,
tapis,n.m.,,,
trouver,v.t.,Je trouve la fille sympa.,,
vase,n.m.,,,
verre,n.m.,,,
voilà,prép.,,,
Leçon 6,,,,
autre,adj.,,,
basket,n.m.,,,
"blanc,che",adj.,Maison blanche,,
"bleu,e",adj.,,,
"blond,e",adj.,,,
"brun,e",adj.,,,
chaussure,n.f.,,,
chemise,n.f.,,,
chose,n.f.,,,
couleur,n.f.,,,
d’accord,loc.adv.,Je suis d’accord avec toi.,,
jaune,adj.,,,
"grand,e",adj.,形容东西，放在n.前 une grande chambre 形容人，放在n.前，表示“伟大的”，放n.后，表示高大的,,
jean,n.m.,,,
lunettes,n.f.pl.,,,
manteau,n.m.,manteaux,,
"noir,e",adj.,,,
pandalon,n.m.,,,
personne,n.f.,,,
"petit,e",adj.,,,
porter,v.t.,,,
portrait-robot,n.m.,,,
robe,n.f.,,,
rouge,adj.,,,
tee-shirt,n.m.,,,
"vert,e",adj.,,,
vêtement,n.m.,,,
Leçon 7,,,,
boutique,n.f.,,,
"cher,ère",adj.,,,
combien,adv.,,,
coûter,v.i.,,,
euro,n.m.,,,
faire,v.t.,,"Je fais, Tu fais, Il fait, Nous faisons, Vous faisez, Ils lfont",
"joli,e",adj.,,,
pour,prép.,,,
prix,n.m.,,,
pull,n.m.,,,
quantité,n.f.,,,
shopping,n.m.,,,
taille,n.f.,,,
très,adv.,,,
trouver,v.t.,,,
type,n.m.,,,
"vendeur,euse",n.,,,
Leçon 8,,,,
artiste,n.,,,
coin,n.m.,au coin de / dans le coin de,,
écrivain,n.m.,,,
entre,prép.,entre A et B,,
film,n.m.,,,
môme,n.,,,
"musicien,ne",n.,,,
orange,n.f.,,,
peintre,n.,,,
poème,n.m.,,,
poète,n.m.,,,
"sculpteur,trice",n.,,,
tableau,n.m.,画，表格,,
Leçon 9,,,,
agence,n.f.,agence immobilière,,
"ancien,ne",adj.,旧的，古老的（放在n.后）: une maison ancienne / 先前的（放在n.前）ancien président,,
annonce,n.f.,petite annonce,,
appartement,n.m.,,,
ascenseur,n.m.,,,
avenue,n.f.,,,
bout,n.m.,au bout de l’avenue,,
"bruyant,e",adj.,bruit n.m.,,
bureau,n.m.,,,
calme,adj.,,,
chez,prép.,,,
"clair,e",adj.,,,
couloir,n.m.,au bout du couloir,,
